time,type,y,newcol
24/03/22,L2_CENTRAL_AND_WESTERN_out,371,1
25/03/22,L2_CENTRAL_AND_WESTERN_out,397,1
26/03/22,L2_CENTRAL_AND_WESTERN_out,539,1
27/03/22,L2_CENTRAL_AND_WESTERN_out,209,1
28/03/22,L2_CENTRAL_AND_WESTERN_out,281,1
29/03/22,L2_CENTRAL_AND_WESTERN_out,407,1
30/03/22,L2_CENTRAL_AND_WESTERN_out,403,1
31/03/22,L2_CENTRAL_AND_WESTERN_out,407,1
01/04/22,L2_CENTRAL_AND_WESTERN_out,359,1
02/04/22,L2_CENTRAL_AND_WESTERN_out,495,1
03/04/22,L2_CENTRAL_AND_WESTERN_out,371,1
04/04/22,L2_CENTRAL_AND_WESTERN_out,456,1
05/04/22,L2_CENTRAL_AND_WESTERN_out,285,1
06/04/22,L2_CENTRAL_AND_WESTERN_out,344,1
07/04/22,L2_CENTRAL_AND_WESTERN_out,306,1
08/04/22,L2_CENTRAL_AND_WESTERN_out,350,1
09/04/22,L2_CENTRAL_AND_WESTERN_out,490,1
10/04/22,L2_CENTRAL_AND_WESTERN_out,201,1
11/04/22,L2_CENTRAL_AND_WESTERN_out,279,1
12/04/22,L2_CENTRAL_AND_WESTERN_out,409,1
13/04/22,L2_CENTRAL_AND_WESTERN_out,385,1
14/04/22,L2_CENTRAL_AND_WESTERN_out,435,1
15/04/22,L2_CENTRAL_AND_WESTERN_out,316,1
16/04/22,L2_CENTRAL_AND_WESTERN_out,440,1
17/04/22,L2_CENTRAL_AND_WESTERN_out,190,1
18/04/22,L2_CENTRAL_AND_WESTERN_out,222,1
19/04/22,L2_CENTRAL_AND_WESTERN_out,444,1
20/04/22,L2_CENTRAL_AND_WESTERN_out,396,1
21/04/22,L2_CENTRAL_AND_WESTERN_out,269,1
22/04/22,L2_CENTRAL_AND_WESTERN_out,190,1
23/04/22,L2_CENTRAL_AND_WESTERN_out,696,1
24/04/22,L2_CENTRAL_AND_WESTERN_out,535,1
25/04/22,L2_CENTRAL_AND_WESTERN_out,327,1
26/04/22,L2_CENTRAL_AND_WESTERN_out,55,1
27/04/22,L2_CENTRAL_AND_WESTERN_out,272,1
28/04/22,L2_CENTRAL_AND_WESTERN_out,61,1
29/04/22,L2_CENTRAL_AND_WESTERN_out,925,1
30/04/22,L2_CENTRAL_AND_WESTERN_out,204,1
01/05/22,L2_CENTRAL_AND_WESTERN_out,597,1
02/05/22,L2_CENTRAL_AND_WESTERN_out,27,1
03/05/22,L2_CENTRAL_AND_WESTERN_out,66,1
04/05/22,L2_CENTRAL_AND_WESTERN_out,732,1
05/05/22,L2_CENTRAL_AND_WESTERN_out,50,1
06/05/22,L2_CENTRAL_AND_WESTERN_out,405,1
07/05/22,L2_CENTRAL_AND_WESTERN_out,69,1
08/05/22,L2_CENTRAL_AND_WESTERN_out,442,1
09/05/22,L2_CENTRAL_AND_WESTERN_out,26,1
10/05/22,L2_CENTRAL_AND_WESTERN_out,83,1
11/05/22,L2_CENTRAL_AND_WESTERN_out,475,1
12/05/22,L2_CENTRAL_AND_WESTERN_out,57,1
13/05/22,L2_CENTRAL_AND_WESTERN_out,635,1
14/05/22,L2_CENTRAL_AND_WESTERN_out,46,1
15/05/22,L2_CENTRAL_AND_WESTERN_out,1274,1
16/05/22,L2_CENTRAL_AND_WESTERN_out,72,1
17/05/22,L2_CENTRAL_AND_WESTERN_out,1014,1
01/03/22,L2_EASTERN_in,366,1
02/03/22,L2_EASTERN_in,552,1
03/03/22,L2_EASTERN_in,496,1
04/03/22,L2_EASTERN_in,544,1
05/03/22,L2_EASTERN_in,377,1
06/03/22,L2_EASTERN_in,237,1
07/03/22,L2_EASTERN_in,443,1
08/03/22,L2_EASTERN_in,545,1
09/03/22,L2_EASTERN_in,577,1
10/03/22,L2_EASTERN_in,455,1
11/03/22,L2_EASTERN_in,595,1
12/03/22,L2_EASTERN_in,490,1
13/03/22,L2_EASTERN_in,230,1
14/03/22,L2_EASTERN_in,468,1
15/03/22,L2_EASTERN_in,608,1
16/03/22,L2_EASTERN_in,491,1
17/03/22,L2_EASTERN_in,541,1
18/03/22,L2_EASTERN_in,477,1
19/03/22,L2_EASTERN_in,379,1
20/03/22,L2_EASTERN_in,159,1
21/03/22,L2_EASTERN_in,520,1
22/03/22,L2_EASTERN_in,557,1
23/03/22,L2_EASTERN_in,491,1
24/03/22,L2_EASTERN_in,476,1
25/03/22,L2_EASTERN_in,358,1
26/03/22,L2_EASTERN_in,365,1
27/03/22,L2_EASTERN_in,209,1
28/03/22,L2_EASTERN_in,436,1
29/03/22,L2_EASTERN_in,416,1
30/03/22,L2_EASTERN_in,604,1
31/03/22,L2_EASTERN_in,529,1
01/04/22,L2_EASTERN_in,396,1
02/04/22,L2_EASTERN_in,306,1
03/04/22,L2_EASTERN_in,324,1
04/04/22,L2_EASTERN_in,576,1
05/04/22,L2_EASTERN_in,285,1
06/04/22,L2_EASTERN_in,770,1
07/04/22,L2_EASTERN_in,574,1
08/04/22,L2_EASTERN_in,473,1
09/04/22,L2_EASTERN_in,334,1
10/04/22,L2_EASTERN_in,222,1
11/04/22,L2_EASTERN_in,606,1
12/04/22,L2_EASTERN_in,603,1
13/04/22,L2_EASTERN_in,700,1
14/04/22,L2_EASTERN_in,476,1
15/04/22,L2_EASTERN_in,121,1
16/04/22,L2_EASTERN_in,119,1
17/04/22,L2_EASTERN_in,202,1
18/04/22,L2_EASTERN_in,260,1
19/04/22,L2_EASTERN_in,752,1
20/04/22,L2_EASTERN_in,838,1
21/04/22,L2_EASTERN_in,717,1
22/04/22,L2_EASTERN_in,379,1
23/04/22,L2_EASTERN_in,364,1
24/04/22,L2_EASTERN_in,369,1
25/04/22,L2_EASTERN_in,719,1
26/04/22,L2_EASTERN_in,457,1
27/04/22,L2_EASTERN_in,769,1
28/04/22,L2_EASTERN_in,428,1
29/04/22,L2_EASTERN_in,730,1
30/04/22,L2_EASTERN_in,288,1
01/05/22,L2_EASTERN_in,315,1
02/05/22,L2_EASTERN_in,169,1
03/05/22,L2_EASTERN_in,450,1
04/05/22,L2_EASTERN_in,889,1
05/05/22,L2_EASTERN_in,571,1
06/05/22,L2_EASTERN_in,462,1
07/05/22,L2_EASTERN_in,219,1
08/05/22,L2_EASTERN_in,239,1
09/05/22,L2_EASTERN_in,170,1
10/05/22,L2_EASTERN_in,467,1
11/05/22,L2_EASTERN_in,711,1
12/05/22,L2_EASTERN_in,528,1
13/05/22,L2_EASTERN_in,699,1
14/05/22,L2_EASTERN_in,276,1
15/05/22,L2_EASTERN_in,901,1
16/05/22,L2_EASTERN_in,482,1
17/05/22,L2_EASTERN_in,1048,1
01/03/22,L2_EASTERN_out,142,1
