,time,type,y
0,2022/05/18,#REF!_in,12.0
1,2022/05/19,#REF!_in,11.0
2,2022/05/20,#REF!_in,8.0
3,2022/05/21,#REF!_in,11.0
4,2022/05/22,#REF!_in,0.0
5,2022/05/23,#REF!_in,0.0
6,2022/05/24,#REF!_in,0.0
7,2022/05/25,#REF!_in,12.0
8,2022/05/26,#REF!_in,15.0
9,2022/05/27,#REF!_in,8.0
10,2022/05/28,#REF!_in,8.0
11,2022/05/29,#REF!_in,0.0
12,2022/05/30,#REF!_in,0.0
13,2022/05/31,#REF!_in,10.0
14,2022/05/18,#REF!_out,11.0
15,2022/05/19,#REF!_out,8.0
16,2022/05/20,#REF!_out,11.0
17,2022/05/21,#REF!_out,0.0
18,2022/05/22,#REF!_out,0.0
19,2022/05/23,#REF!_out,0.0
20,2022/05/24,#REF!_out,12.0
21,2022/05/25,#REF!_out,15.0
22,2022/05/26,#REF!_out,8.0
23,2022/05/27,#REF!_out,8.0
24,2022/05/28,#REF!_out,0.0
25,2022/05/29,#REF!_out,0.0
26,2022/05/30,#REF!_out,10.0
27,2022/05/31,#REF!_out,0.0
28,2022/05/18,L2_AMPANG_JAYA_NORTH_in,44.0
29,2022/05/19,L2_AMPANG_JAYA_NORTH_in,28.0
30,2022/05/20,L2_AMPANG_JAYA_NORTH_in,40.0
31,2022/05/21,L2_AMPANG_JAYA_NORTH_in,56.0
32,2022/05/22,L2_AMPANG_JAYA_NORTH_in,8.0
33,2022/05/23,L2_AMPANG_JAYA_NORTH_in,24.0
34,2022/05/24,L2_AMPANG_JAYA_NORTH_in,29.0
35,2022/05/25,L2_AMPANG_JAYA_NORTH_in,27.0
36,2022/05/26,L2_AMPANG_JAYA_NORTH_in,34.0
37,2022/05/27,L2_AMPANG_JAYA_NORTH_in,22.0
38,2022/05/28,L2_AMPANG_JAYA_NORTH_in,9.0
39,2022/05/29,L2_AMPANG_JAYA_NORTH_in,1.0
40,2022/05/30,L2_AMPANG_JAYA_NORTH_in,31.0
41,2022/05/31,L2_AMPANG_JAYA_NORTH_in,76.0
42,2022/05/18,L2_AMPANG_JAYA_NORTH_out,1.0
43,2022/05/19,L2_AMPANG_JAYA_NORTH_out,0.0
44,2022/05/20,L2_AMPANG_JAYA_NORTH_out,0.0
45,2022/05/21,L2_AMPANG_JAYA_NORTH_out,0.0
46,2022/05/22,L2_AMPANG_JAYA_NORTH_out,3.0
47,2022/05/23,L2_AMPANG_JAYA_NORTH_out,0.0
48,2022/05/24,L2_AMPANG_JAYA_NORTH_out,0.0
49,2022/05/25,L2_AMPANG_JAYA_NORTH_out,4.0
50,2022/05/26,L2_AMPANG_JAYA_NORTH_out,1.0
51,2022/05/27,L2_AMPANG_JAYA_NORTH_out,3.0
52,2022/05/28,L2_AMPANG_JAYA_NORTH_out,1.0
53,2022/05/29,L2_AMPANG_JAYA_NORTH_out,2.0
54,2022/05/30,L2_AMPANG_JAYA_NORTH_out,1.0
55,2022/05/31,L2_AMPANG_JAYA_NORTH_out,1.0
56,2022/05/18,L2_AMPANG_JAYA_SOUTH_in,203.0
57,2022/05/19,L2_AMPANG_JAYA_SOUTH_in,111.0
58,2022/05/20,L2_AMPANG_JAYA_SOUTH_in,147.0
59,2022/05/21,L2_AMPANG_JAYA_SOUTH_in,49.0
60,2022/05/22,L2_AMPANG_JAYA_SOUTH_in,59.0
61,2022/05/23,L2_AMPANG_JAYA_SOUTH_in,43.0
62,2022/05/24,L2_AMPANG_JAYA_SOUTH_in,61.0
63,2022/05/25,L2_AMPANG_JAYA_SOUTH_in,66.0
64,2022/05/26,L2_AMPANG_JAYA_SOUTH_in,78.0
65,2022/05/27,L2_AMPANG_JAYA_SOUTH_in,66.0
