DevIdx,MAE,RootMSE,MAPE
0,455.3524475097656,710.8229370117188,1.0388948917388916
1,409.1636047363281,771.3046875,1.2342503070831299
2,494.4673156738281,874.1213989257812,0.9517560005187988
3,357.4749450683594,668.1829223632812,1.127464771270752
4,779.6318359375,2171.0,1.1431407928466797
5,237.8139190673828,372.1302185058594,2.057682514190674
6,242.0123291015625,419.7389221191406,1.0950629711151123
7,703.9306640625,1393.2008056640625,1.4215790033340454
8,326.9624938964844,522.4838256835938,1.1115707159042358
9,412.1241149902344,607.3615112304688,0.9783238172531128
10,297.6725769042969,560.6731567382812,1.1345864534378052
11,515.8176879882812,776.20556640625,1.0530756711959839
12,330.5644226074219,606.9091796875,0.9226804971694946
13,321.1427307128906,538.9146728515625,0.8810202479362488
14,388.72735595703125,605.68115234375,0.9053511619567871
15,346.57147216796875,568.465576171875,1.128480315208435
16,428.9317321777344,741.408203125,1.0075711011886597
17,319.900146484375,634.6719360351562,0.9990853667259216
18,835.1056518554688,2192.988525390625,1.2154775857925415
19,272.9273681640625,438.4708251953125,1.1752378940582275
20,256.9627990722656,447.6062316894531,0.9486293196678162
21,349.2106628417969,552.7496948242188,1.4287034273147583
22,345.9559020996094,573.115478515625,0.8690813779830933
23,442.6770935058594,691.8898315429688,0.927716076374054
24,303.74530029296875,638.080322265625,0.9118539094924927
25,411.0232849121094,705.1417846679688,0.8439369201660156
26,254.38563537597656,389.7625732421875,0.9253491759300232
27,272.01409912109375,440.5523681640625,0.8698000907897949
28,231.4754180908203,332.5743103027344,1.8644131422042847
29,258.4070739746094,371.8204345703125,1.1443346738815308
30,582.44677734375,1327.8531494140625,1.041111707687378
31,183.424072265625,267.4715270996094,1.220910906791687
32,332.0706481933594,513.0441284179688,1.2164685726165771
33,345.20941162109375,597.0651245117188,1.357206106185913
34,408.3467712402344,674.4522094726562,1.0791826248168945
35,307.51715087890625,604.6219482421875,1.0757089853286743
36,287.636474609375,502.85308837890625,1.0427898168563843
